iso3,funding_required,funding_received,ipc_phase_3_plus,fatalities,Crisis_Severity_Score,Funding_Coverage_Ratio,Is_Red_Zone,Optimal_Allocation_USD,Projected_Lives_Saved
AFG,1000000000,0.0,13775635.0,317793.0,100.0,1.0,False,6666666.67,32
AGO,1000000000,0.0,1315532.0,33334.0,10.17,1.0,False,6666666.67,30
BDI,1000000000,0.0,1174392.0,50892.0,13.48,1.0,False,6666666.67,26
BGD,1000000000,0.0,15463347.0,0.0,38.05,1.0,False,6666666.67,1965
COD,1000000000,0.0,24812776.0,0.0,61.06,1.0,False,6666666.67,3153
ETH,1000000000,0.0,16756345.0,0.0,41.23,1.0,False,6666666.67,2129
HTI,1000000000,0.0,5697628.0,3054.0,14.66,1.0,False,6666666.67,300
NGA,1000000000,0.0,27212934.0,0.0,66.97,1.0,False,6666666.67,3458
PAK,1000000000,0.0,10989570.0,0.0,27.04,1.0,False,6666666.67,1396
SDN,1000000000,0.0,21241056.0,113439.0,75.87,1.0,False,6666666.67,68
SSD,1000000000,51616.0,5972144.0,0.0,14.7,1.0,False,6666666.67,759
SYR,1000000000,0.0,0.0,413311.0,85.97,1.0,False,6666666.67,21
UKR,1000000000,0.0,0.0,245068.0,50.97,1.0,False,6666666.67,21
YEM,1000000000,0.0,17145484.0,0.0,42.19,1.0,False,6666666.67,2179
ZAF,1000000000,0.0,9335159.0,0.0,22.97,1.0,False,6666666.67,1186
