iso3,funding_required,funding_received,ipc_phase_3_plus,fatalities,Crisis_Severity_Score,Funding_Coverage_Ratio,Is_Red_Zone
AFG,,,13775635.0,317793.0,100.0,1.0,False
AGO,,,1315532.0,33334.0,10.17,1.0,False
BDI,,,1174392.0,50892.0,13.48,1.0,False
BEN,,,191108.0,0.0,0.47,1.0,False
BFA,,,1749437.0,0.0,4.31,1.0,False
BGD,,,15463347.0,0.0,38.05,1.0,False
CAF,,,1928733.0,0.0,4.75,1.0,False
CIV,,,1033335.0,0.0,2.54,1.0,False
CMR,,,3121270.0,0.0,7.68,1.0,False
COD,,,24812776.0,0.0,61.06,1.0,False
CPV,,,37752.0,0.0,0.09,1.0,False
DJI,,,193872.0,0.0,0.48,1.0,False
DOM,,,924905.0,0.0,2.28,1.0,False
ECU,,,0.0,0.0,0.0,1.0,False
ETH,,,16756345.0,0.0,41.23,1.0,False
GHA,,,1561223.0,0.0,3.84,1.0,False
GIN,,,1480656.0,0.0,3.64,1.0,False
GMB,,,0.0,0.0,0.0,1.0,False
GNB,,,121695.0,0.0,0.3,1.0,False
GTM,,,3437133.0,0.0,8.46,1.0,False
HND,,,1784832.0,0.0,4.39,1.0,False
HTI,,,5697628.0,3054.0,14.66,1.0,False
KEN,,,1760950.0,0.0,4.33,1.0,False
LBN,,,1172387.0,0.0,2.89,1.0,False
LBR,,,418213.0,0.0,1.03,1.0,False
LSO,,,258331.0,0.0,0.64,1.0,False
MDG,,,1573101.0,0.0,3.87,1.0,False
MLI,,,855640.0,0.0,2.11,1.0,False
MOZ,,,2089610.0,0.0,5.14,1.0,False
MRT,,,394119.0,0.0,0.97,1.0,False
MWI,,,2970149.0,0.0,7.31,1.0,False
NAM,,,455668.0,0.0,1.12,1.0,False
NER,,,1780316.0,0.0,4.38,1.0,False
NGA,,,27212934.0,0.0,66.97,1.0,False
PAK,,,10989570.0,0.0,27.04,1.0,False
PSE,,,1600655.0,0.0,3.94,1.0,False
SDN,,,21241056.0,113439.0,75.87,1.0,False
SEN,,,504386.0,0.0,1.24,1.0,False
SLE,,,998608.0,0.0,2.46,1.0,False
SLV,,,841190.0,0.0,2.07,1.0,False
SOM,,,3423255.0,0.0,8.42,1.0,False
SSD,,51616,5972144.0,0.0,14.7,1.0,False
SWZ,,,193178.0,0.0,0.48,1.0,False
SYR,,,0.0,413311.0,85.97,1.0,False
TCD,,,1927580.0,0.0,4.74,1.0,False
TGO,,,288383.0,0.0,0.71,1.0,False
TLS,,,360097.0,0.0,0.89,1.0,False
TZA,,,466225.0,0.0,1.15,1.0,False
UGA,,,919840.0,0.0,2.26,1.0,False
UKR,,,0.0,245068.0,50.97,1.0,False
YEM,,,17145484.0,0.0,42.19,1.0,False
ZAF,,,9335159.0,0.0,22.97,1.0,False
ZMB,,,1203693.0,0.0,2.96,1.0,False
ZWE,,,2605477.0,0.0,6.41,1.0,False
